Date,Open,High,Low,Close,Adj Close,Volume
1999-12-31,12.944443702697754,13.0,12.86111068725586,12.916666984558105,10.496976852416992,116325
2000-01-03,12.805556297302246,12.86111068725586,12.444443702697754,12.583333015441895,10.22608757019043,542475
2000-01-04,12.38888931274414,12.472222328186035,12.277777671813965,12.333333015441895,10.022918701171875,645525
2000-01-05,12.5,12.5,12.333333015441895,12.333333015441895,10.055532455444336,400275
2000-01-06,12.222222328186035,12.5,12.0,12.305556297302246,10.032886505126953,327150
2000-01-07,12.333333015441895,12.694443702697754,12.333333015441895,12.555556297302246,10.236712455749512,372600
2000-01-10,12.666666984558105,12.694443702697754,12.305556297302246,12.38888931274414,10.100825309753418,432450
2000-01-11,12.277777671813965,12.444443702697754,12.13888931274414,12.36111068725586,10.078177452087402,1053450
2000-01-12,12.36111068725586,12.444443702697754,12.166666984558105,12.305556297302246,10.032886505126953,595125
2000-01-13,12.277777671813965,12.555556297302246,12.194443702697754,12.416666984558105,10.12347412109375,705150
2000-01-14,12.444443702697754,12.555556297302246,12.083333015441895,12.166666984558105,9.919646263122559,1360125
2000-01-18,12.11111068725586,12.11111068725586,11.444443702697754,11.444443702697754,9.33080768585205,1974825
2000-01-19,11.527777671813965,11.555556297302246,10.833333015441895,10.833333015441895,8.832559585571289,1709325
2000-01-20,10.944443702697754,10.972222328186035,10.38888931274414,10.5,8.560789108276367,1652850
2000-01-21,10.61111068725586,10.61111068725586,10.25,10.36111068725586,8.44755744934082,1527975
2000-01-24,10.472222328186035,10.555556297302246,10.277777671813965,10.444443702697754,8.515495300292969,954450
2000-01-25,10.583333015441895,10.666666984558105,10.25,10.36111068725586,8.44755744934082,986625
2000-01-26,10.472222328186035,10.777777671813965,10.055556297302246,10.527777671813965,8.583442687988281,1753650
2000-01-27,10.666666984558105,10.805556297302246,10.61111068725586,10.61111068725586,8.651381492614746,913500
2000-01-28,10.61111068725586,10.61111068725586,10.222222328186035,10.222222328186035,8.33431339263916,777825
2000-01-31,10.555556297302246,11.194443702697754,10.38888931274414,11.194443702697754,9.126980781555176,1001250
2000-02-01,11.11111068725586,11.11111068725586,9.777777671813965,10.0,8.153127670288086,1878300
2000-02-02,10.11111068725586,10.5,9.944443702697754,10.305556297302246,8.40225887298584,1498275
2000-02-03,10.5,10.5,10.13888931274414,10.333333015441895,8.424905776977539,658800
2000-02-04,10.305556297302246,10.416666984558105,10.0,10.25,8.356959342956543,1679175
2000-02-07,10.25,10.444443702697754,10.194443702697754,10.25,8.356959342956543,1224450
2000-02-08,10.194443702697754,10.333333015441895,9.833333015441895,9.88888931274414,8.062545776367188,1152000
2000-02-09,9.777777671813965,9.88888931274414,9.527777671813965,9.527777671813965,7.768125534057617,2627100
2000-02-10,9.472222328186035,9.5,9.13888931274414,9.305556297302246,7.586942195892334,934425
2000-02-11,9.305556297302246,9.527777671813965,9.25,9.333333015441895,7.609589576721191,1185975
2000-02-14,9.36111068725586,9.36111068725586,9.027777671813965,9.11111068725586,7.428407192230225,832050
2000-02-15,9.222222328186035,9.38888931274414,9.13888931274414,9.277777671813965,7.564297676086426,723600
2000-02-16,9.277777671813965,9.416666984558105,9.194443702697754,9.222222328186035,7.51900053024292,1140975
2000-02-17,9.222222328186035,9.38888931274414,8.88888931274414,9.0,7.337820053100586,1158750
2000-02-18,8.777777671813965,9.305556297302246,8.777777671813965,8.833333015441895,7.201932430267334,1004400
2000-02-22,8.944443702697754,9.027777671813965,8.75,8.944443702697754,7.292522430419922,532800
2000-02-23,8.61111068725586,8.944443702697754,8.61111068725586,8.722222328186035,7.1113433837890625,865800
2000-02-24,8.694443702697754,8.777777671813965,8.583333015441895,8.63888931274414,7.043402194976807,815400
2000-02-25,8.666666984558105,8.972222328186035,8.555556297302246,8.61111068725586,7.020753383636475,1071450
2000-02-28,8.63888931274414,8.833333015441895,8.583333015441895,8.583333015441895,6.998106002807617,1205100
2000-02-29,8.694443702697754,8.88888931274414,8.63888931274414,8.805556297302246,7.179290294647217,1392075
2000-03-01,8.777777671813965,9.055556297302246,8.694443702697754,9.0,7.337820053100586,864000
2000-03-02,8.88888931274414,9.083333015441895,8.666666984558105,8.75,7.133991718292236,1370475
2000-03-03,8.777777671813965,9.0,8.722222328186035,8.916666984558105,7.269876003265381,742050
2000-03-06,9.0,9.0,8.722222328186035,8.722222328186035,7.1113433837890625,562500
2000-03-07,8.722222328186035,8.75,8.444443702697754,8.444443702697754,6.884865760803223,1246500
2000-03-08,8.416666984558105,8.63888931274414,8.38888931274414,8.527777671813965,6.952811241149902,819225
2000-03-09,8.527777671813965,8.805556297302246,8.444443702697754,8.61111068725586,7.020753383636475,719325
2000-03-10,8.666666984558105,8.666666984558105,8.5,8.5,6.930163383483887,472725
2000-03-13,8.555556297302246,8.555556297302246,8.333333015441895,8.472222328186035,6.907514572143555,542475
