Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
RSG,"Republic Services",88.17,0.77,+0.88%,88.55,87.08,1523644,10/30/20
RTX,"Raytheon Technologies Corp",54.32,1.18,+2.22%,54.45,52.92,14574141,10/30/20
SBAC,"SBA Communications",290.37,-4.65,-1.58%,295.34,286.49,518200,10/30/20
SBUX,"Starbucks Corp",86.96,-1.34,-1.52%,88.39,85.63,11402699,10/30/20
SCHW,"The Charles Schwab Corp",41.11,0.8,+1.98%,41.13,40,13155012,10/30/20
SEE,"Sealed Air Corp",39.59,-0.58,-1.44%,40.52,39.18,1103078,10/30/20
SHW,"Sherwin-Williams Company",687.98,-4.11,-0.59%,695.01,681.3,688350,10/30/20
SIVB,"Svb Financial Group",290.7,8.63,+3.06%,290.96,279.5,424000,10/30/20
SJM,"J.M. Smucker Company",112.2,0.92,+0.83%,113.1,110.75,1301213,10/30/20
SLB,"Schlumberger N.V.",14.94,0.49,+3.39%,14.96,14.32,17498845,10/30/20
SLG,"SL Green Realty Corp",42.81,1.16,+2.79%,43,41,1626227,10/30/20
SNA,"Snap-On Inc",157.53,1.62,+1.04%,158.16,153.27,443710,10/30/20
SNPS,"Synopsys Inc",213.86,-5.6,-2.55%,219.41,212.21,777400,10/30/20
SO,"Southern Company",57.45,-0.76,-1.31%,58.59,56.92,4145150,10/30/20
SPG,"Simon Property Group",62.81,-0.59999999999999,-0.95%,63.62,60.83,3705075,10/30/20
SPGI,"S&P Global Inc",322.73,-3.01,-0.92%,329.78,319.04,1464438,10/30/20
SRE,"Sempra Energy",125.36,-1.86,-1.46%,127.57,123.98,1534900,10/30/20
STE,"Steris Corp",177.19,-0.14000000000001,-0.08%,178.66,172.9,352616,10/30/20
STT,"State Street Corp",58.9,0.1,+0.17%,58.98,57.42,2706094,10/30/20
STX,"Seagate Tech Ord Shs",47.82,0.16,+0.34%,47.87,47.1,3416400,10/30/20
STZ,"Constellation Brands Inc",165.23,-0.62,-0.37%,165.24,160.63,1549186,10/30/20
SWK,"Stanley Black & Decker Inc",166.2,0.85999999999999,+0.52%,166.84,162.3,1476427,10/30/20
SWKS,"Skyworks Solutions",141.29,-3.87,-2.67%,143.91,139.63,1797200,10/30/20
SYF,"Synchrony Financial",25.02,-0.44,-1.73%,25.35,24.47,4695281,10/30/20
SYK,"Stryker Corp",202.01,-3.38,-1.65%,212.49,196.09,2385231,10/30/20
SYY,"Sysco Corp",55.31,0.020000000000003,+0.04%,55.42,53.93,4689870,10/30/20
T,"AT&T Inc",27.02,0.26,+0.97%,27.04,26.69,48443044,10/30/20
TAP,"Molson Coors Brewing Company",35.26,1.88,+5.63%,35.3,33.41,5588613,10/30/20
TDG,"Transdigm Group Inc",477.41,0.87,+0.18%,482.28,467.66,363208,10/30/20
TDY,"Teledyne Technologies Inc",309.15,-0.21000000000004,-0.07%,314,304.58,142928,10/30/20
TEL,"Te Connectivity Ltd",96.88,0.83,+0.86%,96.9,94.16,1295007,10/30/20
TER,"Teradyne Inc",87.85,-0.69,-0.78%,88.15,86.09,1581500,10/30/20
TFC,"Truist Financial Corp",42.12,0.27,+0.65%,42.18,41.22,5415089,10/30/20
TFX,"Teleflex Inc",318.23,-8.42,-2.58%,326.12,312.33,425100,10/30/20
TGT,"Target Corp",152.22,-2.03,-1.32%,154.14,150.8,3694809,10/30/20
