Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
CSCO,"Cisco Systems Inc",35.9,0.21,+0.59%,35.93,35.49,29159602,10/30/20
CSX,"CSX Corp",78.94,1.05,+1.35%,79.01,77.5,5884100,10/30/20
CTAS,"Cintas Corp",314.55,-5.37,-1.68%,320.46,311.8,577000,10/30/20
CTLT,"Catalent Inc",87.77,-1.62,-1.81%,89.61,86.43,780088,10/30/20
CTSH,"Cognizant Tech Sol",71.42,0.4,+0.56%,71.78,69.97,4298200,10/30/20
CTVA,"Corteva Inc",32.98,0.48,+1.48%,32.98,32.11,4327679,10/30/20
CTXS,"Citrix Systems Inc",113.27,-0.65,-0.57%,114.98,111.86,1761800,10/30/20
CVS,"CVS Corp",56.09,0.16,+0.29%,56.31,55.4,8665545,10/30/20
CVX,"Chevron Corp",69.5,0.7,+1.02%,70.11,68.08,17198460,10/30/20
CXO,"Concho Resources Inc",41.51,-0.6,-1.42%,41.85,39.92,4731852,10/30/20
D,"Dominion Resources",80.34,-0.61,-0.75%,81.36,79.53,3503515,10/30/20
DAL,"Delta Air Lines Inc",30.64,-0.12,-0.39%,30.99,29.99,15235399,10/30/20
DD,"Du Pont De.Nemours Inc",56.88,-1.08,-1.86%,58.11,56.18,5363129,10/30/20
DE,"Deere & Company",225.91,-2.11,-0.93%,228.59,222.61,1306183,10/30/20
DFS,"Discover Financial Services",65.01,1,+1.56%,65.11,62.64,3631728,10/30/20
DG,"Dollar General Corp",208.71,-2.02,-0.96%,211.24,206.14,1830217,10/30/20
DGX,"Quest Diagnostics Inc",122.14,-0.83,-0.67%,123.42,119.86,988793,10/30/20
DHI,"D.R. Horton",66.81,-1.22,-1.79%,68.59,66.13,3353329,10/30/20
DHR,"Danaher Corp",229.54,-0.53,-0.23%,230.85,225.4,2598339,10/30/20
DIS,"Walt Disney Company",121.25,-0.29000000000001,-0.24%,121.75,119.09,8098891,10/30/20
DISCA,"Discovery Comm A",20.24,0.5,+2.56%,20.24,19.67,4916000,10/30/20
DISCK,"Discovery Comm Inc",18.32,0.5,+2.81%,18.33,17.8,2155700,10/30/20
DISH,"Dish Network Corp",25.49,0.09,+0.35%,25.67,25.11,2164300,10/30/20
DLR,"Digital Realty Trust",144.3,-4.42,-2.97%,147.58,140.91,1855304,10/30/20
DLTR,"Dollar Tree Inc",90.32,-1.59,-1.73%,91.51,89.14,1429300,10/30/20
DOV,"Dover Corp",110.71,0.61999999999999,+0.56%,111.17,109.45,991289,10/30/20
DOW,"Dow Inc",45.49,-0.76,-1.64%,46.19,44.73,5166099,10/30/20
DPZ,"Domino's Pizza Inc",378.32,-8.4,-2.17%,386.76,373.43,689793,10/30/20
DRE,"Duke Realty Corp",37.99,0.16,+0.42%,38.27,37.55,2328221,10/30/20
DRI,"Darden Restaurants",91.92,-0.59,-0.64%,93.05,89.34,1492447,10/30/20
DTE,"Dte Energy Company",123.42,-0.049999999999997,-0.04%,123.53,120.91,1100519,10/30/20
DUK,"Duke Energy Corp",92.11,-0.13,-0.14%,93,91.23,3304844,10/30/20
DVA,"Davita Healthcare Partners Inc",86.25,0.48,+0.56%,88.4,85,1085202,10/30/20
DVN,"Devon Energy Corp",8.93,0.48,+5.68%,8.93,8.34,15696179,10/30/20
DXC,"Dxc Technology Company",18.42,0.17,+0.93%,18.44,17.59,2875712,10/30/20
DXCM,Dexcom,319.58,-15.71,-4.69%,338,317.5,2224200,10/30/20
EA,"Electronic Arts Inc",119.83,-4.07,-3.28%,124.09,118.52,3313100,10/30/20
EBAY,"Ebay Inc",47.63,-1.65,-3.35%,49.14,46.99,12566200,10/30/20
ECL,"Ecolab Inc",183.59,-3.35,-1.79%,188.31,181.25,1159023,10/30/20
ED,"Consolidated Edison Company of New York",78.49,-1.28,-1.60%,79.82,77.64,2353725,10/30/20
EFX,"Equifax Inc",136.6,-2.96,-2.12%,140.28,135.98,1539776,10/30/20
EIX,"Edison International",56.04,-0.030000000000001,-0.05%,56.55,54.83,1654696,10/30/20
EL,"Estee Lauder Companies",219.66,-3.48,-1.56%,224.9,216.25,1411887,10/30/20
EMN,"Eastman Chemical Company",80.84,-1.05,-1.28%,83.29,79.31,939974,10/30/20
EMR,"Emerson Electric Company",64.79,0.35000000000001,+0.54%,64.81,63.65,3902890,10/30/20
EOG,"Eog Resources",34.24,0.27,+0.79%,34.26,33.02,4707439,10/30/20
EQIX,"Equinix Inc",731.24,-9.44,-1.27%,739.71,719.86,413300,10/30/20
EQR,"Equity Residential",46.98,0.72,+1.56%,47.14,46.14,2926508,10/30/20
ES,"Eversource Energy",87.27,-1.19,-1.35%,88.85,86.41,1437687,10/30/20
ESS,"Essex Property Trust",204.59,7.01,+3.55%,205.85,196.91,1194180,10/30/20
ETN,"Eaton Corp",103.79,-0.42999999999999,-0.41%,104.68,102.28,1494490,10/30/20
ETR,"Entergy Corp",101.22,-0.26000000000001,-0.26%,101.82,99.06,1511589,10/30/20
ETSY,"Etsy Inc",121.59,-10.83,-8.18%,131.7,119.71,5604600,10/30/20
EVRG,"Evergy Inc",55.2,-0.13,-0.23%,55.31,54.41,1453627,10/30/20
EW,"Edwards Lifesciences Corp",71.69,-1.22,-1.67%,72.81,70.92,3131454,10/30/20
EXC,"Exelon Corp",39.89,-0.27,-0.67%,40.25,39.46,7071600,10/30/20
EXPD,"Expeditors Intl",88.37,-1.04,-1.16%,89.75,86.91,1782900,10/30/20
EXPE,"Expedia Group Inc",94.15,-1.07,-1.12%,95.26,92.71,2124900,10/30/20
EXR,"Extra Space Storage Inc",115.95,-0.36999999999999,-0.32%,116.99,114.32,785319,10/30/20
F,"Ford Motor Company",7.73,-0.17,-2.15%,7.91,7.61,79392475,10/30/20
FANG,"Diamondback Energy",25.96,0.42,+1.64%,25.99,24.85,3395000,10/30/20
FAST,"Fastenal Company",43.23,0.11,+0.26%,43.49,42.63,3018300,10/30/20
FB,"Facebook Inc",263.11,-17.72,-6.31%,276.7,259.1,47299000,10/30/20
FBHS,"Fortune Brands Home & Security",80.87,-1.01,-1.23%,82.26,79.47,1221513,10/30/20
FCX,"Freeport-Mcmoran Inc",17.34,-0.14,-0.80%,17.54,16.96,14417098,10/30/20
FDX,"Fedex Corp",259.47,-7.55,-2.83%,265.99,255.56,2709583,10/30/20
FE,"Firstenergy Corp",29.72,-2.09,-6.57%,31.48,29.57,20290949,10/30/20
FFIV,"F5 Networks Inc",132.94,-0.63,-0.47%,133.57,131.35,1112200,10/30/20
FIS,"Fidelity National Information Services",124.59,-0.42999999999999,-0.34%,127.65,122.86,5496143,10/30/20
FISV,"Fiserv Inc",95.47,-0.3,-0.31%,95.56,93.35,6677200,10/30/20
FITB,"Fifth Third Bncp",23.22,0.12,+0.52%,23.24,22.56,6116400,10/30/20
FLIR,"Flir Systems Inc",34.69,0.31,+0.90%,36.09,33.63,2119300,10/30/20
FLS,"Flowserve Corp",29.12,0.63,+2.21%,29.15,28.38,926121,10/30/20
FLT,"Fleetcor Technologies",220.91,1.5,+0.68%,221.12,216.17,638379,10/30/20
FMC,"FMC Corp",102.74,-0.89,-0.86%,103.69,100.86,900864,10/30/20
FOX,"Fox Corp Cl B",26.14,0.75,+2.95%,26.16,25.28,2209200,10/30/20
FOXA,"Fox Corp Cl A",26.52,0.95,+3.72%,26.52,25.51,5643700,10/30/20
FRC,"First Republic Bank",126.14,0.95999999999999,+0.77%,126.75,124.32,897658,10/30/20
FRT,"Federal Realty Investment Trust",68.78,-0.53,-0.76%,69.76,67.81,1608179,10/30/20
FTI,"Technipfmc Plc",5.53,0.16,+2.98%,5.63,5.3,8786364,10/30/20
FTNT,"Fortinet Inc",110.37,-7.63,-6.47%,118.08,106.75,4300500,10/30/20
FTV,"Fortive Corp",61.6,-0.67,-1.08%,62.44,60.88,2682231,10/30/20
GD,"General Dynamics Corp",131.33,0.010000000000019,+0.01%,132.72,129.17,2349974,10/30/20
GE,"General Electric Company",7.42,0.05,+0.68%,7.54,7.29,102480596,10/30/20
GILD,"Gilead Sciences Inc",58.15,-0.38,-0.65%,58.58,57.18,11871601,10/30/20
GIS,"General Mills",59.12,-0.1,-0.17%,59.63,58.67,2501815,10/30/20
GL,"Globe Life Inc",81.09,1.32,+1.65%,81.63,79.35,731635,10/30/20
GLW,"Corning Inc",31.97,-0.13,-0.40%,32.12,31.28,4503486,10/30/20
GM,"General Motors Company",34.53,-0.36,-1.03%,35.03,33.96,13074624,10/30/20
GOOG,"Alphabet Cl C",1621.01,53.77,+3.43%,1687,1604.46,4330800,10/30/20
GOOGL,"Alphabet Cl A",1616.11,59.23,+3.80%,1681.31,1601.57,4996100,10/30/20
GPC,"Genuine Parts Company",90.43,0.12,+0.13%,90.78,88.99,922014,10/30/20
GPN,"Global Payments Inc",157.74,1.57,+1.01%,157.81,153.33,3181079,10/30/20
GPS,"Gap Inc",19.45,-0.2,-1.02%,19.8,19.11,7461586,10/30/20
GRMN,"Garmin Ltd",104.02,3.29,+3.27%,105.24,101.23,1946600,10/30/20
GS,"Goldman Sachs Group",189.04,-0.90000000000001,-0.47%,190.4,185.52,3661181,10/30/20
GWW,"W.W. Grainger",350.02,-0.090000000000032,-0.03%,351.92,345,382688,10/30/20
HAL,"Halliburton Company",12.06,0.44,+3.79%,12.09,11.48,16138989,10/30/20
HAS,"Hasbro Inc",82.72,-1.15,-1.37%,83.44,81.69,1198600,10/30/20
HBAN,"Huntington Bcshs",10.44,0.3,+3.01%,10.45,10.03,8822400,10/30/20
HBI,"Hanesbrands Inc",16.07,-0.44,-2.67%,16.63,15.88,3381435,10/30/20
HCA,"Hca Holdings Inc",123.94,-1.46,-1.16%,126.68,121.91,1718848,10/30/20
HD,"Home Depot",266.71,-2.92,-1.08%,269.62,262.03,3874571,10/30/20
HES,"Hess Corp",37.22,0.039999999999999,+0.11%,37.5,36.3,1833269,10/30/20
HFC,"Hollyfrontier Corp",18.51,0.72,+4.05%,18.55,17.65,4461035,10/30/20
HIG,"Hartford Financial Services Group",38.52,-0.16999999999999,-0.44%,39.71,37.99,3732590,10/30/20
HII,"Huntington Ingalls Industries",147.48,4.51,+3.15%,147.66,142.64,301324,10/30/20
HLT,"Hilton Inc",87.81,1.3,+1.50%,88.08,84.78,2335951,10/30/20
HOLX,"Hologic Inc",68.82,-1.68,-2.38%,71.02,67.71,2228700,10/30/20
HON,"Honeywell International Inc",164.95,0.34999999999999,+0.21%,165.76,161.05,4390007,10/30/20
HPE,"Hewlett Packard Enterprise Comp",8.64,0.11,+1.29%,8.65,8.4,12125828,10/30/20
HPQ,"HP Inc",17.96,0.18,+1.01%,17.97,17.52,7883718,10/30/20
HRL,"Hormel Foods Corp",48.69,-0.010000000000005,-0.02%,49.26,48.4,2034254,10/30/20
HSIC,"Henry Schein Inc",63.58,0.68,+1.08%,64.73,62.51,1626700,10/30/20
HST,"Host Marriott Financial Trust",10.48,-0.039999999999999,-0.38%,10.65,10.27,11023552,10/30/20
HSY,"Hershey Foods Corp",137.46,-0.37,-0.27%,138.21,135.83,783864,10/30/20
HUM,"Humana Inc",399.28,2.53,+0.64%,402.12,392.49,942804,10/30/20
HWM,"Howmet Aerospace Inc",17.25,0.039999999999999,+0.23%,17.3,16.84,2732740,10/30/20
IBM,"International Business Machines",111.66,2.75,+2.53%,111.8,107.75,7923882,10/30/20
ICE,"Intercontinental Exchange",94.4,-1.3,-1.36%,95.87,93.36,3520604,10/30/20
IDXX,"Idexx Laboratories",424.82,-16.98,-3.84%,441.72,419.12,611100,10/30/20
IEX,"Idex Corp",170.39,1.66,+0.98%,170.41,166.51,682962,10/30/20
IFF,"International Flavors & Fragrances",102.66,-0.26000000000001,-0.25%,103.35,101.41,1564092,10/30/20
ILMN,"Illumina Inc",292.7,-22.2,-7.05%,311.77,288.01,2726700,10/30/20
INCY,"Incyte Corp",86.64,-0.38,-0.44%,86.84,83.44,1105300,10/30/20
INFO,"IHS Markit Ltd",80.87,0.44,+0.55%,81.6,79.67,2311617,10/30/20
INTC,"Intel Corp",44.28,0.17,+0.39%,44.79,43.61,46794102,10/30/20
INTU,"Intuit Inc",314.68,-10.93,-3.36%,325.17,312.05,1682800,10/30/20
IP,"International Paper Company",43.75,-0.090000000000003,-0.21%,44.14,43.19,2553014,10/30/20
IPG,"Interpublic Group of Companies",18.09,-0.22,-1.20%,18.67,17.98,5684201,10/30/20
IPGP,"Ipg Photonics Corp",185.96,-1.09,-0.58%,188.76,173.47,472300,10/30/20
IQV,"Iqvia Holdings Inc",153.99,-0.66,-0.43%,155.01,150.65,1009747,10/30/20
IR,"Ingersoll Rand Inc",34.94,-0.14,-0.40%,35.28,34.37,2369313,10/30/20
IRM,"Iron Mountain Inc",26.06,-0.27,-1.03%,26.45,25.76,3604224,10/30/20
ISRG,"Intuitive Surg Inc",667.08,-19.2,-2.80%,686,653,996700,10/30/20
IT,"Gartner Inc",120.1,1.82,+1.54%,120.35,117.13,580891,10/30/20
ITW,"Illinois Tool Works Inc",195.88,-0.93000000000001,-0.47%,197.69,193.51,1034159,10/30/20
IVZ,"Invesco Plc",13.11,-0.29,-2.16%,13.48,12.74,6123812,10/30/20
J,"Jacobs Engineering Group Inc",95,0.27,+0.29%,95.2,93.27,626948,10/30/20
JBHT,"J B Hunt Transport",121.74,-0.6,-0.49%,123.75,119.22,1316600,10/30/20
JCI,"Johnson Controls Intl",42.21,-0.1,-0.24%,42.86,41.37,4632595,10/30/20
JKHY,"Jack Henry & Assoc",148.25,-1.08,-0.72%,150.26,146.69,453100,10/30/20
JNJ,"Johnson & Johnson",137.11,-0.079999999999984,-0.06%,137.54,133.65,7364752,10/30/20
JNPR,"Juniper Networks",19.72,0.029999999999998,+0.15%,20.08,19.51,4795471,10/30/20
JPM,"JP Morgan Chase & Company",98.04,0.87,+0.90%,98.42,96.23,15200685,10/30/20
K,"Kellogg Company",62.89,-0.19,-0.30%,63.59,62.56,2532461,10/30/20
KEY,Keycorp,12.98,0.23,+1.80%,12.99,12.54,6659545,10/30/20
KEYS,"Keysight Technologies Inc Comm",104.87,0.33,+0.32%,105.95,102.77,1646307,10/30/20
KHC,"Kraft Heinz Company",30.59,0.55,+1.83%,30.69,29.95,10479500,10/30/20
KIM,"Kimco Realty Corp",10.26,-0.16,-1.54%,10.5,10.15,4037075,10/30/20
KLAC,"K L A-Tencor Corp",197.18,-4.77,-2.36%,201,195.34,1047200,10/30/20
KMB,"Kimberly-Clark Corp",132.59,-0.24000000000001,-0.18%,134.56,131.05,2140016,10/30/20
KMI,"Kinder Morgan",11.9,-0.16,-1.33%,11.9,11.61,17081954,10/30/20
KMX,"Carmax Inc",86.44,-1.77,-2.01%,88.44,85.79,1322572,10/30/20
KO,"Coca-Cola Company",48.06,0.039999999999999,+0.08%,48.12,47.37,15805004,10/30/20
KR,"Kroger Company",32.21,-0.049999999999997,-0.15%,32.53,32.06,8448240,10/30/20
KSU,"Kansas City Southern",176.14,0.92999999999998,+0.53%,176.36,173.04,630328,10/30/20
L,"Loews Corp",34.68,0.46,+1.34%,34.88,34.07,907873,10/30/20
LB,"L Brands Inc",32.01,-0.86,-2.62%,33.13,31.75,2524772,10/30/20
LDOS,"Leidos Holdings Inc",83,1.75,+2.15%,83.37,81.28,1480341,10/30/20
LEG,"Leggett & Platt Inc",41.73,0.27,+0.65%,42.18,41.04,4065076,10/30/20
LEN,"Lennar Corp",70.23,-1.37,-1.91%,72.17,69.41,2915246,10/30/20
LH,"Laboratory Corp of America Holdings",199.77,0.25,+0.13%,200.27,196.13,533975,10/30/20
LHX,"L3Harris Technologies Inc",161.11,-1.84,-1.13%,164.4,158.09,1984831,10/30/20
LIN,"Linde Plc",220.34,0.5,+0.23%,220.9,217.28,2481336,10/30/20
LKQ,"LKQ Corp",31.99,0.31,+0.98%,32.25,31,2905200,10/30/20
LLY,"Eli Lilly and Company",130.46,-2.09,-1.58%,133.1,129.21,4336046,10/30/20
LMT,"Lockheed Martin Corp",350.13,-2.31,-0.66%,353.73,345.65,1310167,10/30/20
LNC,"Lincoln National Corp",35.1,1.08,+3.17%,35.16,33.5,2721291,10/30/20
LNT,"Alliant Energy Corp",55.28,-0.29,-0.52%,55.74,54.64,1348000,10/30/20
LOW,"Lowe's Companies",158.1,-2.65,-1.65%,160.7,155.77,3949225,10/30/20
LRCX,"Lam Research Corp",342.08,-11.18,-3.16%,352.72,338.27,1750100,10/30/20
LUMN,Centurylink,8.62,-0.050000000000001,-0.58%,8.72,8.51,11144145,10/30/20
LUV,"Southwest Airlines Company",39.53,-0.039999999999999,-0.10%,40.2,38.98,11258515,10/30/20
LVS,"Las Vegas Sands",48.06,0.22,+0.46%,48.4,46.96,5209325,10/30/20
LW,"Lamb Weston Holdings Inc",63.45,-0.64,-1.00%,64.43,62.62,725839,10/30/20
LYB,"Lyondellbasell Industries NV",68.45,-3.76,-5.21%,71.29,66.72,3708201,10/30/20
LYV,"Live Nation Entertainment",48.8,-0.87,-1.75%,49.95,47.97,1979465,10/30/20
MA,"Mastercard Inc",288.64,-4.54,-1.55%,291.85,281.2,6893575,10/30/20
MAA,"Mid-America Apartment Communities",116.63,3.1,+2.73%,116.77,113.45,574787,10/30/20
MAR,"Marriot Int Cl A",92.88,-0.45,-0.48%,94.03,90.55,2732300,10/30/20
MAS,"Masco Corp",53.6,-0.37,-0.69%,54.4,52.14,2374733,10/30/20
MCD,"McDonald's Corp",213,-1.95,-0.91%,215.22,209.9,3451419,10/30/20
MCHP,"Microchip Technology",105.08,-1.27,-1.19%,106.4,103.72,1661200,10/30/20
MCK,"Mckesson Corp",147.49,3.7,+2.57%,147.59,143.26,1125145,10/30/20
MCO,"Moody's Corp",262.9,-0.10000000000002,-0.04%,268.34,259.45,1152162,10/30/20
MDLZ,"Mondelez Intl Inc",53.12,-0.07,-0.13%,53.51,52.56,6574100,10/30/20
MDT,"Medtronic Inc",100.57,-0.80000000000001,-0.79%,101.5,98.94,5872471,10/30/20
MET,"Metlife Inc",37.85,0.54,+1.45%,37.86,36.8,6523058,10/30/20
MGM,"MGM Resorts International",20.57,-0.72,-3.38%,20.74,19.55,16623874,10/30/20
MHK,"Mohawk Industries",103.19,10.14,+10.90%,109.95,98.4,1809118,10/30/20
MKC,"Mccormick & Company Inc",180.51,-3.39,-1.84%,184.31,178.51,687816,10/30/20
MKTX,"Marketaxess Holdings",538.85,-17.01,-3.06%,556.31,532.6,309600,10/30/20
MLM,"Martin Marietta Materials",266.35,2.75,+1.04%,269.78,259.29,604623,10/30/20
MMC,"Marsh & Mclennan Companies",103.46,0.50999999999999,+0.50%,104.64,102.11,2797580,10/30/20
MMM,"3M Company",159.96,1.48,+0.93%,159.96,156.99,2234526,10/30/20
MNST,"Monster Beverage Cp",76.57,-0.97,-1.25%,77.22,75.45,3256000,10/30/20
MO,"Altria Group",36.08,-0.79,-2.14%,36.75,35.83,12786623,10/30/20
MOS,"Mosaic Company",18.5,0.2,+1.09%,18.54,17.9,4930597,10/30/20
MPC,"Marathon Petroleum Corp",29.5,0.67,+2.32%,29.53,28.16,8784816,10/30/20
MRK,"Merck & Company",75.21,-0.68000000000001,-0.90%,75.89,73.94,10589124,10/30/20
MRO,"Marathon Oil Corp",3.96,-0.03,-0.75%,4.01,3.83,28399618,10/30/20
MS,"Morgan Stanley",48.15,0.030000000000001,+0.06%,48.26,47.01,14909309,10/30/20
MSCI,"MSCI Inc",349.84,4.35,+1.26%,351.61,344.15,587251,10/30/20
MSFT,"Microsoft Corp",202.47,-2.25,-1.10%,204.29,199.62,36980102,10/30/20
MSI,"Motorola Solutions",158.06,-4.83,-2.97%,161.82,156.3,1093292,10/30/20
MTB,"M&T Bank Corp",103.58,4.04,+4.06%,103.67,99.21,1011985,10/30/20
MTD,"Mettler-Toledo International",997.91,-5.88,-0.59%,1007.16,985.05,91239,10/30/20
MU,"Micron Technology",50.34,-0.14,-0.28%,50.43,49.3,15961100,10/30/20
MXIM,"Maxim Integrated",69.65,-0.54,-0.77%,70.08,68.8,2245900,10/30/20
MYL,"Mylan NV Ord Shs",14.54,0.17,+1.18%,14.89,14.34,9155600,10/30/20
NCLH,"Norwegian Cruise Ord",16.63,0.86,+5.45%,17.07,15.3,42028117,10/30/20
NDAQ,"Nasdaq Inc",120.99,-1.02,-0.84%,122.98,119.76,820400,10/30/20
NEE,"Nextera Energy",73.21,-0.80000000000001,-1.08%,74.35,72.5,8791013,10/30/20
NEM,"Newmont Mining Corp",62.84,2.5,+4.14%,62.97,60.8,9150912,10/30/20
NFLX,"Netflix Inc",475.74,-28.47,-5.65%,505.88,472.21,7813800,10/30/20
NI,"NiSource Inc",22.97,0.009999999999998,+0.04%,23.12,22.65,3603889,10/30/20
NKE,"Nike Inc",120.08,-2.78,-2.26%,123.66,118.8,7792405,10/30/20
NLOK,"Nortonlifelock Inc",20.57,-0.04,-0.19%,20.76,20.05,7071800,10/30/20
NLSN,"Nielsen Holdings Plc",13.51,-0.35,-2.53%,13.91,13.31,4334447,10/30/20
NOC,"Northrop Grumman Corp",289.82,-2.57,-0.88%,293.92,285.13,1227194,10/30/20
